QUERY_ID	COG_ID	CDD_ID	EVALUE	IDENTITY	GENE_NAME	COG_NAME	COG_LETTER	COG_DESCRIPTION
KKOIIGHA_00499	COG0119	439889	4.86e-174	33.198	LeuA	Isopropylmalate/homocitrate/citramalate synthases	E	Amino acid transport and metabolism
KKOIIGHA_00500	COG1509	441118	0.0	53.56	EpmB	L-lysine 2,3-aminomutase EpmB	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00501	COG0231	440001	1.08e-115	57.297	Efp	Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00502	COG2269	441870	5.61e-152	55.949	EpmA	Elongation factor P--beta-lysine ligase EpmA	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00503	COG1231	440844	5.47e-40	25.112	YobN	Monoamine oxidase	E	Amino acid transport and metabolism
KKOIIGHA_00504	COG3806	443019	1.31e-40	52.427	ChrR	Anti-sigma factor ChrR, cupin superfamily	T	Signal transduction mechanisms
KKOIIGHA_00505	COG0688	440452	8.11e-104	42.91	Psd	Phosphatidylserine decarboxylase	I	Lipid transport and metabolism
KKOIIGHA_00506	COG2897	442142	1.43e-104	42.264	SseA	3-mercaptopyruvate sulfurtransferase SseA, contains two rhodanese domains	P	Inorganic ion transport and metabolism
KKOIIGHA_00507	COG1162	440776	1.09e-142	49.498	RsgA	Ribosome biogenesis GTPase RsgA	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00508	COG1949	441552	5.39e-127	68.927	Orn	Oligoribonuclease (3'-5' exoribonuclease)	A	RNA processing and modification
KKOIIGHA_00509	COG1600	441208	0.0	56.98	QueG	Epoxyqueuosine reductase QueG (queuosine biosynthesis)	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00510	COG0062	439832	8.03e-84	40.808	NnrE	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate epimerase (NAXE) domain	F	Nucleotide transport and metabolism
KKOIIGHA_00511	COG0802	440565	1.73e-66	47.586	TsaE	tRNA A37 threonylcarbamoyladenosine biosynthesis protein TsaE	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00512	COG0860	440621	1.69e-75	35.169	AmiC	N-acetylmuramoyl-L-alanine amidase	M	Cell wall/membrane/envelope biogenesis
KKOIIGHA_00513	COG0323	440092	0.0	43.838	MutL	DNA mismatch repair ATPase MutL	L	Replication, recombination and repair
KKOIIGHA_00514	COG0324	440093	1.74e-162	55.738	MiaA	tRNA A37 N6-isopentenylltransferase MiaA	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00515	COG1923	441526	2.66e-39	67.164	Hfq	sRNA-binding regulator protein Hfq	T	Signal transduction mechanisms
KKOIIGHA_00516	COG2262	441863	0.0	56.905	HflX	50S ribosomal subunit-associated GTPase HflX	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00517	COG0330	440099	6.75e-99	36.462	HflC	Regulator of protease activity HflC, stomatin/prohibitin superfamily	O	Posttranslational modification, protein turnover, chaperones
KKOIIGHA_00518	COG0330	440099	6.57e-96	35.315	HflC	Regulator of protease activity HflC, stomatin/prohibitin superfamily	O	Posttranslational modification, protein turnover, chaperones
KKOIIGHA_00519	COG3705	442919	1.03e-140	51.746	HisZ	ATP phosphoribosyltransferase regulatory subunit HisZ	E	Amino acid transport and metabolism
KKOIIGHA_00520	COG0104	439874	0.0	65.566	PurA	Adenylosuccinate synthase	F	Nucleotide transport and metabolism
KKOIIGHA_00521	COG0790	440553	6.34e-39	34.855	Sel1	Sel1-like repeat, TPR-related	R	General function prediction only
KKOIIGHA_00524	COG1566	441174	1.05e-10	18.152	EmrA	Multidrug resistance efflux pump EmrA	V	Defense mechanisms
KKOIIGHA_00525	COG1215	440828	5.39e-05	22.699	BcsA	Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase	N	Cell motility
KKOIIGHA_00526	COG1004	440628	0.0	60.909	Ugd	UDP-glucose 6-dehydrogenase	M	Cell wall/membrane/envelope biogenesis
KKOIIGHA_00527	COG1959	441562	3.53e-38	37.405	IscR	DNA-binding transcriptional regulator, IscR family	K	Transcription
KKOIIGHA_00528	COG0719	440483	0.0	43.81	SufB	Fe-S cluster assembly scaffold protein SufB	O	Posttranslational modification, protein turnover, chaperones
KKOIIGHA_00529	COG0396	440165	1.29e-168	65.462	SufC	Fe-S cluster assembly ATPase SufC	O	Posttranslational modification, protein turnover, chaperones
KKOIIGHA_00530	COG0719	440483	1.04e-160	41.73	SufB	Fe-S cluster assembly scaffold protein SufB	O	Posttranslational modification, protein turnover, chaperones
KKOIIGHA_00531	COG0520	440286	0.0	58.911	CsdA	Selenocysteine lyase/Cysteine desulfurase	E	Amino acid transport and metabolism
KKOIIGHA_00532	COG2151	441754	2.84e-47	44.34	PaaD	Metal-sulfur cluster biosynthetic enzyme, includes PaaD subunit of phenylacetate degradation complex	O	Posttranslational modification, protein turnover, chaperones
KKOIIGHA_00533	COG2949	442192	1.2e-83	48.404	SanA	Uncharacterized periplasmic protein SanA, affects membrane permeability for vancomycin	M	Cell wall/membrane/envelope biogenesis
KKOIIGHA_00535	COG0189	439959	3.79e-120	46.233	LysX	Glutathione synthase, LysX or RimK-type ligase, ATP-grasp superfamily	E	Amino acid transport and metabolism
KKOIIGHA_00536	COG4067	443244	4.66e-60	46.309		Uncharacterized conserved protein PA1768	S	Function unknown
KKOIIGHA_00538	COG3098	442332	1.75e-42	38.889	YqcC	Uncharacterized conserved protein YqcC, DUF446 family	S	Function unknown
KKOIIGHA_00539	COG2105	441708	1.68e-17	31.481	YtfP	Predicted gamma-glutamylamine cyclotransferase YtfP, GGCT/AIG2-like family	E	Amino acid transport and metabolism
KKOIIGHA_00540	COG3047	442281	2.8e-45	29.032	OmpW	Outer membrane protein OmpW	M	Cell wall/membrane/envelope biogenesis
KKOIIGHA_00542	COG0591	440356	7.06e-105	40.204	PutP	Na+/proline symporter	E	Amino acid transport and metabolism
KKOIIGHA_00543	COG4230	443374	0.0	46.887	PutA2	Delta 1-pyrroline-5-carboxylate dehydrogenase	E	Amino acid transport and metabolism
KKOIIGHA_00544	COG4977	444002	6.69e-30	40.336	GlxA	Transcriptional regulator GlxA, contains an amidase domain and an AraC-type DNA-binding HTH domain	K	Transcription
KKOIIGHA_00547	COG3448	442671	8.02e-33	36.09		CBS-domain-containing membrane protein	T	Signal transduction mechanisms
KKOIIGHA_00548	COG1249	440861	2.08e-145	37.66	Lpd	Dihydrolipoamide dehydrogenase (E3) component of pyruvate/2-oxoglutarate dehydrogenase complex or glutathione oxidoreductase	C	Energy production and conversion
KKOIIGHA_00550	COG0401	440170	5.85e-19	73.077	YqaE	Membrane potential modulator PMP3/YqaE, plasma membrane proteolipid 3 (PMP3)/Esi3/RCI2/UPF0057 family	C	Energy production and conversion
KKOIIGHA_00551	COG3133	442367	1.03e-44	50.0	SlyB	Outer membrane lipoprotein SlyB	M	Cell wall/membrane/envelope biogenesis
KKOIIGHA_00552	COG2224	441826	1.11e-48	31.674	AceA	Isocitrate lyase	C	Energy production and conversion
KKOIIGHA_00553	COG2153	441756	1.43e-52	50.794	ElaA	Predicted N-acyltransferase, GNAT family	R	General function prediction only
KKOIIGHA_00554	COG2850	442098	1.07e-151	59.22	RoxA	Ribosomal protein L16 Arg81 hydroxylase, contains JmjC domain	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00555	COG0015	439786	0.0	41.319	PurB	Adenylosuccinate lyase	F	Nucleotide transport and metabolism
KKOIIGHA_00556	COG2915	442159	7.78e-95	50.761	HflD	Regulator of phage lambda lysogenization HflD, binds to CII and stimulates its degradation	X	Mobilome: prophages, transposons
KKOIIGHA_00557	COG0482	440250	0.0	57.103	MnmA	tRNA U34 2-thiouridine synthase MnmA/TrmU, contains the PP-loop ATPase domain	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00558	COG1051	440671	4.48e-21	37.719	YjhB	ADP-ribose pyrophosphatase YjhB, NUDIX family	F	Nucleotide transport and metabolism
KKOIIGHA_00559	COG1187	440800	1.88e-67	44.253	RsuA	Pseudouridylate synthase RsuA/RluF, specific for 16S rRNA U516, 23S rRNA U2604/U2605/U2457, and tRNA(Tyr)-35	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00560	COG2838	442086	0.0	74.491	IcdM	Monomeric isocitrate dehydrogenase	C	Energy production and conversion
KKOIIGHA_00561	COG2127	441730	6.69e-43	52.222	ClpS	ATP-dependent Clp protease adapter protein ClpS	O	Posttranslational modification, protein turnover, chaperones
KKOIIGHA_00562	COG0542	440308	0.0	43.176	ClpA	ATP-dependent Clp protease, ATP-binding subunit ClpA	O	Posttranslational modification, protein turnover, chaperones
KKOIIGHA_00563	COG0361	440130	5.13e-40	68.493	InfA	Translation initiation factor IF-1	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00564	COG2935	442178	1.26e-135	60.426	Ate1	Arginyl-tRNA--protein-N-Asp/Glu arginylyltransferase	O	Posttranslational modification, protein turnover, chaperones
KKOIIGHA_00565	COG2360	441927	1.64e-144	64.019	Aat	Leu/Phe-tRNA-protein transferase	O	Posttranslational modification, protein turnover, chaperones
KKOIIGHA_00566	COG1674	441280	0.0	55.68	FtsK	DNA segregation ATPase FtsK/SpoIIIE or related protein	D	Cell cycle control, cell division, chromosome partitioning
KKOIIGHA_00567	COG2834	442082	2.46e-56	42.308	LolA	Periplasmic chaperone for outer membrane lipoprotein sorting	M	Cell wall/membrane/envelope biogenesis
KKOIIGHA_00569	COG4638	443676	3.51e-73	23.261	HcaE	Phenylpropionate dioxygenase or related ring-hydroxylating dioxygenase, large terminal subunit	P	Inorganic ion transport and metabolism
KKOIIGHA_00570	COG5517	444268	1.95e-55	40.936	HcaF	3-phenylpropionate/cinnamic acid dioxygenase, small subunit	Q	Secondary metabolites biosynthesis, transport and catabolism
KKOIIGHA_00571	COG1251	440863	1.79e-128	37.871	NirB	NAD(P)H-nitrite reductase, large subunit	C	Energy production and conversion
KKOIIGHA_00572	COG1028	440651	3.91e-69	32.432	FabG	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	I	Lipid transport and metabolism
KKOIIGHA_00573	COG2514	442004	3.8e-12	24.294	CatE	Catechol-2,3-dioxygenase	Q	Secondary metabolites biosynthesis, transport and catabolism
KKOIIGHA_00574	COG2067	441670	4.16e-91	25.771	FadL	Long-chain fatty acid transport protein	I	Lipid transport and metabolism
KKOIIGHA_00575	COG0596	440361	1.05e-54	27.444	MenH	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH/undecaprenyl monophosphate-sugar esterase UshA/YqjL	H	Coenzyme transport and metabolism
KKOIIGHA_00576	COG3971	443171	2.21e-101	58.115	MhpD	2-keto-4-pentenoate hydratase	Q	Secondary metabolites biosynthesis, transport and catabolism
KKOIIGHA_00577	COG4569	443626	0.0	65.484	MhpF	Acetaldehyde dehydrogenase (acetylating)	Q	Secondary metabolites biosynthesis, transport and catabolism
KKOIIGHA_00578	COG0119	439889	1.78e-21	25.833	LeuA	Isopropylmalate/homocitrate/citramalate synthases	E	Amino acid transport and metabolism
KKOIIGHA_00580	COG3677	442893	2.22e-23	34.043	InsA	Transposase InsA	X	Mobilome: prophages, transposons
KKOIIGHA_00581	COG2256	441857	0.0	51.91	RarA	Replication-associated recombination protein RarA (DNA-dependent ATPase)	L	Replication, recombination and repair
KKOIIGHA_00582	COG3945	443145	7.79e-34	30.0		Hemerythrin domain	R	General function prediction only
KKOIIGHA_00583	COG0796	440559	4.64e-94	43.119	MurI	Glutamate racemase	M	Cell wall/membrane/envelope biogenesis
KKOIIGHA_00584	COG2265	441866	1.49e-68	24.518	TrmA	tRNA/tmRNA/rRNA uracil-C5-methylase, TrmA/RlmC/RlmD family	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00585	COG2902	442147	0.0	58.754	Gdh2	NAD-specific glutamate dehydrogenase	E	Amino acid transport and metabolism
KKOIIGHA_00586	COG3250	442481	0.001	19.277	LacZ	Beta-galactosidase/beta-glucuronidase	G	Carbohydrate transport and metabolism
KKOIIGHA_00587	COG0167	439937	9.33e-118	43.934	PyrD	Dihydroorotate dehydrogenase	F	Nucleotide transport and metabolism
KKOIIGHA_00588	COG3130	442364	1.95e-29	61.404	Rmf	Ribosome modulation factor	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00589	COG0116	439886	7.51e-162	46.809	RlmL	RNA guanine methylase, includes 23S rRNA G2445 N2-methylase RlmL and tRNA-G6 N2-methylase Trm14	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00590	COG3831	443043	7.42e-05	27.692	WGR	WGR domain, predicted DNA-binding domain in MolR	K	Transcription
KKOIIGHA_00591	COG0111	439881	1.35e-73	32.484	SerA	Phosphoglycerate dehydrogenase or related dehydrogenase	H	Coenzyme transport and metabolism
KKOIIGHA_00592	COG0501	440267	6.95e-68	33.184	HtpX	Zn-dependent protease with chaperone function	O	Posttranslational modification, protein turnover, chaperones
KKOIIGHA_00593	COG0436	440205	9.92e-138	35.821	AspB	Aspartate/methionine/tyrosine aminotransferase	E	Amino acid transport and metabolism
KKOIIGHA_00594	COG1161	440775	1.23e-148	48.333	RbgA	Ribosome biogenesis GTPase RbgA	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00595	COG0229	439999	2.85e-90	66.165	MsrB	Peptide methionine sulfoxide reductase MsrB	O	Posttranslational modification, protein turnover, chaperones
KKOIIGHA_00602	COG1131	440746	2.95e-105	46.522	RbbA	Ribosome-associated ATPase or ATPase component of an ABC-type multidrug transport system	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00603	COG0842	440604	1.43e-38	32.653	YadH	ABC-type multidrug transport system, permease component	V	Defense mechanisms
KKOIIGHA_00604	COG2904	442148	4.31e-147	60.145	QueFN	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF, N-terminal domain	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00605	COG0778	440541	4.51e-40	35.359	NfnB	Nitroreductase	C	Energy production and conversion
KKOIIGHA_00606	COG2050	441653	8.05e-05	24.183	PaaI	Acyl-CoA thioesterase PaaI, contains HGG motif	Q	Secondary metabolites biosynthesis, transport and catabolism
KKOIIGHA_00608	COG0840	440602	4.1e-30	31.41	Tar	Methyl-accepting chemotaxis protein (MCP)	T	Signal transduction mechanisms
KKOIIGHA_00609	COG2846	442094	1.23e-104	52.889	RIC	Iron-sulfur cluster repair protein YtfE, RIC family, contains ScdAN and hemerythrin domains	O	Posttranslational modification, protein turnover, chaperones
KKOIIGHA_00610	COG3829	443041	4.15e-144	48.023	RocR	RocR-type transcriptional regulator, contains PAS, AAA-type ATPase, and DNA-binding Fis domains	K	Transcription
KKOIIGHA_00611	COG3019	442256	2.41e-53	41.096		Uncharacterized metal-binding protein, DUF411 family	S	Function unknown
KKOIIGHA_00613	COG0389	440158	7.15e-107	39.368	DinP	Nucleotidyltransferase/DNA polymerase DinP involved in DNA repair	L	Replication, recombination and repair
KKOIIGHA_00614	COG1974	441577	3.22e-51	45.455	LexA	SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase)	K	Transcription
KKOIIGHA_00615	COG1012	440636	0.0	48.233	AdhE	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	I	Lipid transport and metabolism
KKOIIGHA_00616	COG4160	443325	3.2e-81	45.175	ArtM	ABC-type arginine/histidine transport system, permease component	E	Amino acid transport and metabolism
KKOIIGHA_00617	COG4215	443361	1.82e-91	55.31	ArtQ	ABC-type arginine transport system, permease component	E	Amino acid transport and metabolism
KKOIIGHA_00618	COG0834	440596	7.85e-71	30.568	HisJ	ABC-type amino acid transport/signal transduction system, periplasmic component/domain	E	Amino acid transport and metabolism
KKOIIGHA_00619	COG4598	443652	7.13e-151	64.407	HisP	ABC-type histidine transport system, ATPase component	E	Amino acid transport and metabolism
KKOIIGHA_00620	COG4664	443701	1.16e-164	49.377	FcbT3	TRAP-type mannitol/chloroaromatic compound transport system, large permease component	Q	Secondary metabolites biosynthesis, transport and catabolism
KKOIIGHA_00621	COG3802	443015	0.0	68.769	GguC	Uncharacterized conserved protein GguC, FAA hydrolase family	S	Function unknown
KKOIIGHA_00622	COG1012	440636	1e-54	28.719	AdhE	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	I	Lipid transport and metabolism
KKOIIGHA_00623	COG0583	440348	1.21e-39	26.756	LysR	DNA-binding transcriptional regulator, LysR family	K	Transcription
KKOIIGHA_00624	COG4948	443975	6.42e-87	26.512	RspA	L-alanine-DL-glutamate epimerase or related enzyme of enolase superfamily	M	Cell wall/membrane/envelope biogenesis
KKOIIGHA_00625	COG1638	441245	2.14e-140	40.816	DctP	TRAP-type C4-dicarboxylate transport system, periplasmic component	G	Carbohydrate transport and metabolism
KKOIIGHA_00626	COG3090	442324	1.02e-26	29.936	DctM	TRAP-type C4-dicarboxylate transport system, small permease component YiaM	G	Carbohydrate transport and metabolism
KKOIIGHA_00627	COG1593	441201	1.87e-116	46.062	DctQ	TRAP-type C4-dicarboxylate transport system, large permease component	G	Carbohydrate transport and metabolism
KKOIIGHA_00628	COG0277	440046	1.11e-145	38.819	GlcD	FAD/FMN-containing lactate dehydrogenase/glycolate oxidase	C	Energy production and conversion
KKOIIGHA_00629	COG1028	440651	8.72e-81	41.245	FabG	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	I	Lipid transport and metabolism
KKOIIGHA_00630	COG0179	439949	7.41e-127	53.738	FAHD1	Oxaloacetate decarboxylase and tautomerase, fumarylacetoacetate (FAA) hydrolase family	C	Energy production and conversion
KKOIIGHA_00631	COG2721	442034	0.0	43.82	UxaA	Altronate dehydratase	G	Carbohydrate transport and metabolism
KKOIIGHA_00632	COG2186	441789	1.11e-58	38.528	FadR	DNA-binding transcriptional regulator, FadR family	K	Transcription
KKOIIGHA_00633	COG2055	441658	9.4e-117	42.69	AllD	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family	C	Energy production and conversion
KKOIIGHA_00634	COG1593	441201	7.76e-163	52.358	DctQ	TRAP-type C4-dicarboxylate transport system, large permease component	G	Carbohydrate transport and metabolism
KKOIIGHA_00635	COG3090	442324	8.55e-37	32.484	DctM	TRAP-type C4-dicarboxylate transport system, small permease component YiaM	G	Carbohydrate transport and metabolism
KKOIIGHA_00636	COG1638	441245	4.84e-115	37.304	DctP	TRAP-type C4-dicarboxylate transport system, periplasmic component	G	Carbohydrate transport and metabolism
KKOIIGHA_00637	COG3395	442622	1.56e-50	29.647	OtnK	D-threonate/D-erythronate kinase OtnK and related C4-acid sugar kinases, YgbK/DUF1537 family	G	Carbohydrate transport and metabolism
KKOIIGHA_00638	COG1995	441598	1.4e-141	48.718	PdxA	4-hydroxy-L-threonine phosphate dehydrogenase PdxA	H	Coenzyme transport and metabolism
KKOIIGHA_00639	COG1028	440651	1.56e-86	43.426	FabG	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	I	Lipid transport and metabolism
KKOIIGHA_00640	COG3970	443170	0.0	57.105		Fumarylacetoacetate (FAA) hydrolase family protein	R	General function prediction only
KKOIIGHA_00641	COG1278	440889	1.32e-37	61.194	CspC	Cold shock protein, CspA family	K	Transcription
KKOIIGHA_00642	COG3491	442714	3.88e-75	34.069	PcbC	Isopenicillin N synthase and related dioxygenases	Q	Secondary metabolites biosynthesis, transport and catabolism
KKOIIGHA_00643	COG2314	441888	1.73e-18	37.838	TM2	Uncharacterized membrane protein YozV, TM2 domain, contains pTyr	R	General function prediction only
KKOIIGHA_00644	COG3932	443133	2.5e-43	41.753	ExoD	Exopolysaccharide synthesis protein ExoD	M	Cell wall/membrane/envelope biogenesis
KKOIIGHA_00645	COG1280	440891	5.44e-52	40.385	RhtB	Threonine/homoserine/homoserine lactone efflux protein	E	Amino acid transport and metabolism
KKOIIGHA_00646	COG0534	440300	1.38e-61	31.852	NorM	Na+-driven multidrug efflux pump, DinF/NorM/MATE family	V	Defense mechanisms
KKOIIGHA_00647	COG0656	440421	1.56e-139	51.351	ARA1	Aldo/keto reductase, related to diketogulonate reductase	Q	Secondary metabolites biosynthesis, transport and catabolism
KKOIIGHA_00648	COG1252	440864	3.03e-87	30.39	Ndh	NADH dehydrogenase, FAD-containing subunit	C	Energy production and conversion
KKOIIGHA_00649	COG0693	440457	8.65e-58	29.204	YajL	Protein/nucleotide deglycase, PfpI/YajL/DJ-1 family (repair of methylglyoxal-glycated proteins and nucleic acids)	V	Defense mechanisms
KKOIIGHA_00650	COG0626	440391	0.0	55.527	MetC	Cystathionine beta-lyase/cystathionine gamma-synthase	E	Amino acid transport and metabolism
KKOIIGHA_00651	COG0034	439804	0.0	48.857	PurF	Glutamine phosphoribosylpyrophosphate amidotransferase	F	Nucleotide transport and metabolism
KKOIIGHA_00652	COG1286	440897	1.07e-42	37.888	CvpA	Colicin V production accessory protein CvpA, regulator of purF expression and biofilm formation	F	Nucleotide transport and metabolism
KKOIIGHA_00653	COG3147	442381	2.82e-18	39.13	DedD	Cell division protein DedD (periplasmic protein involved in septation)	D	Cell cycle control, cell division, chromosome partitioning
KKOIIGHA_00654	COG0285	440054	1.09e-151	41.355	FolC	Folylpolyglutamate synthase/Dihydropteroate synthase	H	Coenzyme transport and metabolism
KKOIIGHA_00655	COG0777	440540	0.0	60.424	AccD	Acetyl-CoA carboxylase beta subunit	I	Lipid transport and metabolism
KKOIIGHA_00656	COG0159	439929	8.03e-146	55.472	TrpA	Tryptophan synthase alpha chain	E	Amino acid transport and metabolism
KKOIIGHA_00657	COG0133	439903	0.0	71.178	TrpB	Tryptophan synthase beta chain	E	Amino acid transport and metabolism
KKOIIGHA_00658	COG0135	439905	1.14e-98	55.34	TrpF	Phosphoribosylanthranilate isomerase	E	Amino acid transport and metabolism
KKOIIGHA_00659	COG0101	439871	1.13e-134	51.21	TruA	tRNA U38,U39,U40 pseudouridine synthase TruA	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00660	COG3170	442403	9.02e-35	27.826	FimV	Type IV pilus assembly protein FimV	N	Cell motility
KKOIIGHA_00661	COG0136	439906	1.54e-148	30.328	Asd	Aspartate-semialdehyde dehydrogenase	E	Amino acid transport and metabolism
KKOIIGHA_00662	COG0473	440241	0.0	59.831	LeuB	Isocitrate/isopropylmalate dehydrogenase	C	Energy production and conversion
KKOIIGHA_00663	COG0066	439836	1.74e-127	57.692	LeuD	3-isopropylmalate dehydratase small subunit	E	Amino acid transport and metabolism
KKOIIGHA_00664	COG0065	439835	0.0	53.488	LeuC	Homoaconitase/3-isopropylmalate dehydratase large subunit	E	Amino acid transport and metabolism
KKOIIGHA_00665	COG0583	440348	1.09e-69	36.86	LysR	DNA-binding transcriptional regulator, LysR family	K	Transcription
KKOIIGHA_00666	COG3243	442475	0.0	49.192	PhaC	Poly-beta-hydroxybutyrate synthase	I	Lipid transport and metabolism
KKOIIGHA_00669	COG0082	439852	0.0	61.582	AroC	Chorismate synthase	E	Amino acid transport and metabolism
KKOIIGHA_00670	COG2890	442135	4.97e-98	44.488	HemK	Methylase of polypeptide chain release factors	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00671	COG2840	442088	8.77e-56	40.107	SmrA	Stalled ribosome-rescuing mRNA endonuclease or DNA-nicking endonuclease, Smr domain	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00672	COG1752	441358	3.62e-71	30.581	RssA	Predicted acylesterase/phospholipase RssA, containd patatin domain	R	General function prediction only
KKOIIGHA_00673	COG0596	440361	1.12e-25	26.978	MenH	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH/undecaprenyl monophosphate-sugar esterase UshA/YqjL	H	Coenzyme transport and metabolism
KKOIIGHA_00674	COG0679	440443	1.43e-57	33.876	YfdV	Predicted permease, AEC (auxin efflux carrier) family	R	General function prediction only
KKOIIGHA_00675	COG0589	440354	2.08e-13	28.472	UspA	Nucleotide-binding universal stress protein,  UspA family	T	Signal transduction mechanisms
KKOIIGHA_00677	COG2186	441789	5.6e-55	40.171	FadR	DNA-binding transcriptional regulator, FadR family	K	Transcription
KKOIIGHA_00678	COG0451	440220	3.18e-43	26.408	WcaG	Nucleoside-diphosphate-sugar epimerase	M	Cell wall/membrane/envelope biogenesis
KKOIIGHA_00679	COG3618	442836	7.96e-70	31.047		Predicted metal-dependent hydrolase, TIM-barrel fold	R	General function prediction only
KKOIIGHA_00680	COG4948	443975	1.05e-120	35.092	RspA	L-alanine-DL-glutamate epimerase or related enzyme of enolase superfamily	M	Cell wall/membrane/envelope biogenesis
KKOIIGHA_00681	COG1593	441201	6.62e-149	48.009	DctQ	TRAP-type C4-dicarboxylate transport system, large permease component	G	Carbohydrate transport and metabolism
KKOIIGHA_00682	COG3090	442324	1.56e-31	28.387	DctM	TRAP-type C4-dicarboxylate transport system, small permease component YiaM	G	Carbohydrate transport and metabolism
KKOIIGHA_00683	COG1638	441245	8.13e-132	36.97	DctP	TRAP-type C4-dicarboxylate transport system, periplasmic component	G	Carbohydrate transport and metabolism
KKOIIGHA_00684	COG0329	440098	7.68e-59	31.615	DapA	4-hydroxy-tetrahydrodipicolinate synthase/N-acetylneuraminate lyase	E	Amino acid transport and metabolism
KKOIIGHA_00685	COG2062	441665	1.93e-40	36.875	SixA	Phosphohistidine phosphatase SixA	T	Signal transduction mechanisms
KKOIIGHA_00686	COG0240	440010	1.94e-159	50.0	GpsA	Glycerol-3-phosphate dehydrogenase	C	Energy production and conversion
KKOIIGHA_00687	COG1282	440893	0.0	54.393	PntB	NAD/NADP transhydrogenase beta subunit	C	Energy production and conversion
KKOIIGHA_00688	COG3288	442518	5.27e-170	54.201	PntA	NAD/NADP transhydrogenase alpha subunit	C	Energy production and conversion
KKOIIGHA_00689	COG1335	440946	2.12e-25	30.939	PncA	Nicotinamidase-related amidase	H	Coenzyme transport and metabolism
KKOIIGHA_00690	COG0397	440166	0.0	47.628	SelO	Protein adenylyltransferase (AMPylase) SelO/YdiU (selenoprotein O)	O	Posttranslational modification, protein turnover, chaperones
KKOIIGHA_00691	COG0326	440095	0.0	58.954	HtpG	Molecular chaperone, HSP90 family	O	Posttranslational modification, protein turnover, chaperones
KKOIIGHA_00692	COG3339	442568	9.18e-20	32.927	YkvA	Uncharacterized membrane protein YkvA, DUF1232 family	S	Function unknown
KKOIIGHA_00693	COG0741	440504	5.69e-53	37.247	MltE	Soluble lytic murein transglycosylase or regulatory protein ( may contain LysM/invasin domain), , includes type III secretion system proteins IagB/IpgF/YsaH	M	Cell wall/membrane/envelope biogenesis
KKOIIGHA_00695	COG0513	440279	0.0	50.125	SrmB	Superfamily II DNA and RNA helicase	L	Replication, recombination and repair
KKOIIGHA_00696	COG1671	441277	5.57e-74	53.425	YaiI	Uncharacterized conserved protein YaiI, UPF0178 family	S	Function unknown
KKOIIGHA_00698	COG0591	440356	8.81e-68	24.411	PutP	Na+/proline symporter	E	Amino acid transport and metabolism
KKOIIGHA_00699	COG0435	440204	0.0	64.832	ECM4	Glutathionyl-hydroquinone reductase	C	Energy production and conversion
KKOIIGHA_00700	COG0583	440348	4.17e-47	28.179	LysR	DNA-binding transcriptional regulator, LysR family	K	Transcription
KKOIIGHA_00701	COG1741	441347	3.06e-96	42.537	YhaK	Redox-sensitive bicupin YhaK, pirin superfamily	R	General function prediction only
KKOIIGHA_00703	COG0739	440502	4.25e-58	51.111	NlpD	Murein endopeptidase or hydrolase activator MepM/NlpD, contains LysM domain	M	Cell wall/membrane/envelope biogenesis
KKOIIGHA_00704	COG0678	440442	3.73e-99	58.75	AHP1	Peroxiredoxin	O	Posttranslational modification, protein turnover, chaperones
