"","locus_tag","ftype","length_bp","gene","EC_number","COG","product","KO_ID"
"515","KKOIIGHA_00777","CDS",1167,"sucC","6.2.1.5","","Succinate--CoA ligase [ADP-forming] subunit beta","K01903"
"516","KKOIIGHA_00778","CDS",1440,"lpdG","1.8.1.4","","Dihydrolipoyl dehydrogenase","K00382"
"517","KKOIIGHA_00779","CDS",1566,"","","","hypothetical protein","K00658"
"518","KKOIIGHA_00780","CDS",2820,"sucA","1.2.4.2","COG0567","2-oxoglutarate dehydrogenase E1 component","K00164"
"519","KKOIIGHA_00781","CDS",711,"sdhB_1","1.3.5.1","COG0479","Succinate dehydrogenase iron-sulfur subunit","K00240"
"520","KKOIIGHA_00782","CDS",1773,"sdhA","1.3.5.1","COG1053","Succinate dehydrogenase flavoprotein subunit","K00239"
"521","KKOIIGHA_00783","CDS",348,"sdhD","","COG2142","Succinate dehydrogenase hydrophobic membrane anchor subunit","K00242"
"522","KKOIIGHA_00784","CDS",378,"sdhC","","COG2009","Succinate dehydrogenase cytochrome b556 subunit","K00241"
"523","KKOIIGHA_00785","CDS",1290,"gltA","2.3.3.16","","Citrate synthase","K01647"
"524","KKOIIGHA_00789","CDS",1482,"gltX","6.1.1.17","","Glutamate--tRNA ligase","K01885"
"525","KKOIIGHA_00794","CDS",1101,"lly","1.13.11.27","COG3185","4-hydroxyphenylpyruvate dioxygenase","K00457"
"526","KKOIIGHA_00795","CDS",591,"argO","","COG1279","Arginine exporter protein ArgO","K06895"
"527","KKOIIGHA_00796","CDS",897,"argP_1","","COG0583","HTH-type transcriptional regulator ArgP","K05596"
"528","KKOIIGHA_00797","CDS",1194,"yycR","1.2.1.46","COG1063","Glutathione-independent formaldehyde dehydrogenase","K00148"
"529","KKOIIGHA_00799","CDS",1152,"cfa","2.1.1.79","COG2230","Cyclopropane-fatty-acyl-phospholipid synthase","K00574"
"530","KKOIIGHA_00801","CDS",393,"yjbI","","COG2346","Group 2 truncated hemoglobin YjbI","K06886"
"531","KKOIIGHA_00803","CDS",579,"","","","hypothetical protein","K09120"
"532","KKOIIGHA_00804","CDS",1974,"rhlE_1","3.6.4.13","","ATP-dependent RNA helicase RhlE","K03654"
"533","KKOIIGHA_00805","CDS",342,"","","","hypothetical protein","K06193"
"534","KKOIIGHA_00809","CDS",1968,"","","","hypothetical protein","K07793"
"535","KKOIIGHA_00810","CDS",1104,"","","","hypothetical protein","K07120"
"536","KKOIIGHA_00813","CDS",1410,"phoH2","3.1.-.-","COG1875","Protein PhoH2","K07175"
"537","KKOIIGHA_00818","CDS",663,"eda","4.1.2.14","COG0800","2-dehydro-3-deoxy-phosphogluconate aldolase","K01625"
"538","KKOIIGHA_00819","CDS",675,"","","","hypothetical protein","K01057"
"539","KKOIIGHA_00820","CDS",1476,"zwf","1.1.1.363","","Glucose-6-phosphate 1-dehydrogenase","K00036"
"540","KKOIIGHA_00821","CDS",867,"hexR_1","","COG1737","HTH-type transcriptional regulator HexR","K19337"
"541","KKOIIGHA_00822","CDS",867,"phnD1","","COG3221","putative ABC transporter phosphite binding protein PhnD1","K02044"
"542","KKOIIGHA_00823","CDS",711,"btuD_2","7.6.2.8","","Vitamin B12 import ATP-binding protein BtuD","K02041"
"543","KKOIIGHA_00827","CDS",582,"","","","hypothetical protein","K07152"
"544","KKOIIGHA_00828","CDS",657,"","","","hypothetical protein","K01420"
"545","KKOIIGHA_00830","CDS",573,"mntP","","COG1971","putative manganese efflux pump MntP","K23242"
"546","KKOIIGHA_00833","CDS",264,"","","","hypothetical protein","K02078"
"547","KKOIIGHA_00838","CDS",1197,"","","","hypothetical protein","K00647"
"548","KKOIIGHA_00840","CDS",738,"fabG_2","1.1.1.100","","3-oxoacyl-[acyl-carrier-protein] reductase FabG","K00059"
"549","KKOIIGHA_00842","CDS",906,"cheR","2.1.1.80","","Chemotaxis protein methyltransferase","K00575"
"550","KKOIIGHA_00843","CDS",1065,"cheB_2","3.1.1.61","COG2201","Protein-glutamate methylesterase/protein-glutamine glutaminase","K03412"
"551","KKOIIGHA_00844","CDS",390,"cheY","","","Chemotaxis protein CheY","K03413"
"552","KKOIIGHA_00845","CDS",663,"cheZ","3.1.3.-","COG3143","Protein phosphatase CheZ","K03414"
"553","KKOIIGHA_00846","CDS",1161,"flhB","","","Flagellar biosynthetic protein FlhB","K02401"
"554","KKOIIGHA_00847","CDS",2082,"flhA","","","Flagellar biosynthesis protein FlhA","K02400"
"555","KKOIIGHA_00848","CDS",2385,"ftsY_2","3.6.5.4","","Signal recognition particle receptor FtsY","K02404"
"556","KKOIIGHA_00851","CDS",717,"fliA","","COG1191","RNA polymerase sigma factor FliA","K02405"
"557","KKOIIGHA_00852","CDS",651,"pqiC","","COG3009","Intermembrane transport lipoprotein PqiC","K09857"
"558","KKOIIGHA_00853","CDS",1647,"pqiB","","COG1463","Intermembrane transport protein PqiB","K06192"
"559","KKOIIGHA_00854","CDS",1326,"pqiA","","COG2995","Intermembrane transport protein PqiA","K03808"
"560","KKOIIGHA_00855","CDS",975,"yrbG","","COG0530","Inner membrane protein YrbG","K07301"
"561","KKOIIGHA_00856","CDS",1413,"","","","hypothetical protein","K00425"
"562","KKOIIGHA_00857","CDS",1002,"appB","7.1.1.3","COG1294","Cytochrome bd-II ubiquinol oxidase subunit 2","K00426"
"563","KKOIIGHA_00858","CDS",1701,"cydD_2","7.4.2.-","COG4988","Glutathione/L-cysteine transport system ATP-binding/permease protein CydD","K16013"
"564","KKOIIGHA_00859","CDS",1722,"cydC_2","7.4.2.-","COG4987","Glutathione/L-cysteine transport system ATP-binding/permease protein CydC","K16012"
"565","KKOIIGHA_00860","CDS",993,"","3.5.4.2","","Adenine deaminase","K21053"
"566","KKOIIGHA_00861","CDS",1356,"guaD","3.5.4.3","COG0402","Guanine deaminase","K01487"
"567","KKOIIGHA_00862","CDS",876,"","","","hypothetical protein","K07402"
"568","KKOIIGHA_00863","CDS",2481,"pucD","1.17.1.4","COG1529","putative xanthine dehydrogenase subunit D","K13482"
"569","KKOIIGHA_00864","CDS",615,"cutM","1.2.5.3","","Carbon monoxide dehydrogenase medium chain","K13481"
"570","KKOIIGHA_00865","CDS",732,"","","","hypothetical protein","K13481"
"571","KKOIIGHA_00866","CDS",645,"rutR","","COG1309","HTH-type transcriptional regulator RutR","K09017"
"572","KKOIIGHA_00872","CDS",1053,"hypE","4.2.1.-","COG0309","Carbamoyl dehydratase HypE","K04655"
"573","KKOIIGHA_00873","CDS",1101,"hypD","","","Hydrogenase maturation factor HypD","K04654"
"574","KKOIIGHA_00874","CDS",261,"hybG","","COG0298","Hydrogenase maturation factor HybG","K04653"
"575","KKOIIGHA_00875","CDS",2328,"hypF","6.2.-.-","","Carbamoyltransferase HypF","K04656"
"576","KKOIIGHA_00884","CDS",363,"cidA","","","Holin-like protein CidA","K06518"
"577","KKOIIGHA_00889","CDS",888,"pal_1","","","Peptidoglycan-associated lipoprotein","K03286"
"578","KKOIIGHA_00890","CDS",1899,"thrS","6.1.1.3","COG0441","Threonine--tRNA ligase","K01868"
"579","KKOIIGHA_00891","CDS",492,"infC","","COG0290","Translation initiation factor IF-3","K02520"
"580","KKOIIGHA_00892","CDS",195,"rpmI","","","Large ribosomal subunit protein bL35","K02916"
"581","KKOIIGHA_00893","CDS",354,"rplT","","","Large ribosomal subunit protein bL20","K02887"
"582","KKOIIGHA_00894","CDS",1020,"pheS","6.1.1.20","","Phenylalanine--tRNA ligase alpha subunit","K01889"
"583","KKOIIGHA_00895","CDS",2385,"pheT","6.1.1.20","","Phenylalanine--tRNA ligase beta subunit","K01890"
"584","KKOIIGHA_00896","CDS",303,"ihfA","","","Integration host factor subunit alpha","K04764"
"585","KKOIIGHA_00898","CDS",1032,"sohB","3.4.21.-","COG0616","putative protease SohB","K04774"
"586","KKOIIGHA_00899","CDS",321,"","","","hypothetical protein","K22042"
"587","KKOIIGHA_00900","CDS",1914,"acsA_2","6.2.1.1","COG0365","Acetyl-coenzyme A synthetase","K01908"
"588","KKOIIGHA_00904","CDS",1365,"ppnN","3.2.2.-","COG1611","Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase","K06966"
"589","KKOIIGHA_00906","CDS",2895,"gcvP","1.4.4.2","COG0403","Glycine dehydrogenase (decarboxylating)","K00281"
"590","KKOIIGHA_00907","CDS",393,"gcvH","","COG0509","Glycine cleavage system H protein","K02437"
"591","KKOIIGHA_00908","CDS",1380,"","","","hypothetical protein","K03310"
"592","KKOIIGHA_00909","CDS",1113,"gcvT","2.1.2.10","COG0404","Aminomethyltransferase","K00605"
"593","KKOIIGHA_00911","CDS",807,"","","","hypothetical protein","K06194"
"594","KKOIIGHA_00913","CDS",1950,"acsA_3","6.2.1.1","COG0365","Acetyl-coenzyme A synthetase","K01907"
"595","KKOIIGHA_00916","CDS",1179,"ackA","2.7.2.1","COG0282","Acetate kinase","K00925"
"596","KKOIIGHA_00917","CDS",951,"pta","2.3.1.8","COG0280","Phosphate acetyltransferase","K00625"
"597","KKOIIGHA_00918","CDS",276,"grxA","","COG0695","Glutaredoxin 1","K03674"
"598","KKOIIGHA_00919","CDS",828,"suhB_1","3.1.3.25","","Nus factor SuhB","K01092"
"599","KKOIIGHA_00920","CDS",537,"regA","","COG4567","Photosynthetic apparatus regulatory protein RegA","K15012"
"600","KKOIIGHA_00921","CDS",1272,"regB","2.7.13.3","COG2205","Sensor histidine kinase RegB","K15011"
"601","KKOIIGHA_00922","CDS",1590,"prfC","","COG4108","Peptide chain release factor 3","K02837"
"602","KKOIIGHA_00923","CDS",477,"mscL","","","Large-conductance mechanosensitive channel","K03282"
"603","KKOIIGHA_00924","CDS",777,"yjjV","3.1.-.-","COG0084","putative metal-dependent hydrolase YjjV","K03424"
"604","KKOIIGHA_00925","CDS",1050,"ygfZ","","COG0354","tRNA-modifying protein YgfZ","K06980"
"605","KKOIIGHA_00927","CDS",417,"","","","hypothetical protein","K07397"
"606","KKOIIGHA_00928","CDS",2031,"uvrB","","COG0556","UvrABC system protein B","K03702"
"607","KKOIIGHA_00929","CDS",1797,"ydaP","","COG0028","Putative thiamine pyrophosphate-containing protein YdaP","K00156"
"608","KKOIIGHA_00931","CDS",1506,"fumB","4.2.1.2","COG1838","Fumarate hydratase class I, anaerobic","K01676"
"609","KKOIIGHA_00932","CDS",1419,"clsA","2.7.8.-","COG1502","Major cardiolipin synthase ClsA","K06131"
"610","KKOIIGHA_00933","CDS",918,"yjiE_1","","COG0583","HTH-type transcriptional regulator YjiE","K21645"
"611","KKOIIGHA_00934","CDS",1098,"","","COG1051","Bifunctional NMN adenylyltransferase/Nudix hydrolase","K13522"
"612","KKOIIGHA_00935","CDS",906,"","","","hypothetical protein","K07058"
"613","KKOIIGHA_00936","CDS",273,"acyP","3.6.1.7","COG1254","Acylphosphatase","K01512"
"614","KKOIIGHA_00938","CDS",921,"rbsK/rbiA","","","Bifunctional ribokinase/ribose-5-phosphate isomerase A","K00852"
"615","KKOIIGHA_00939","CDS",951,"","1.-.-.-","COG1052","Putative 2-hydroxyacid dehydrogenase","K00018"
"616","KKOIIGHA_00941","CDS",1782,"aspS","6.1.1.23","","Aspartate--tRNA(Asp/Asn) ligase","K01876"
"617","KKOIIGHA_00943","CDS",540,"ruvC","3.1.21.10","","Crossover junction endodeoxyribonuclease RuvC","K01159"
"618","KKOIIGHA_00944","CDS",606,"ruvA","","","Holliday junction branch migration complex subunit RuvA","K03550"
"619","KKOIIGHA_00945","CDS",1038,"ruvB","3.6.4.-","","Holliday junction branch migration complex subunit RuvB","K03551"
"620","KKOIIGHA_00946","CDS",420,"ybgC","3.1.2.-","COG0824","Acyl-CoA thioesterase YbgC","K07107"
"621","KKOIIGHA_00947","CDS",690,"tolQ_1","","COG0811","Tol-Pal system protein TolQ","K03562"
"622","KKOIIGHA_00948","CDS",444,"exbD","","COG0848","Biopolymer transport protein ExbD","K03560"
"623","KKOIIGHA_00950","CDS",1287,"tolB","","","Tol-Pal system protein TolB","K03641"
"624","KKOIIGHA_00951","CDS",549,"pal_2","","COG2885","Peptidoglycan-associated lipoprotein","K03640"
"625","KKOIIGHA_00954","CDS",672,"mupP","3.1.3.105","","N-acetylmuramic acid 6-phosphate phosphatase","K22292"
"626","KKOIIGHA_00955","CDS",732,"ubiG","2.1.1.222","COG2227","Ubiquinone biosynthesis O-methyltransferase","K00568"
"627","KKOIIGHA_00956","CDS",888,"galU","2.7.7.9","COG1210","UTP--glucose-1-phosphate uridylyltransferase","K00963"
"628","KKOIIGHA_00957","CDS",1287,"rkpK_2","1.1.1.22","COG1004","UDP-glucose 6-dehydrogenase","K00012"
"629","KKOIIGHA_00958","CDS",579,"sodB","1.15.1.1","","Superoxide dismutase [Fe]","K04564"
"630","KKOIIGHA_00960","CDS",1857,"tamA","","COG0729","Translocation and assembly module subunit TamA","K07278"
"631","KKOIIGHA_00961","CDS",4068,"tamB","","COG2911","Translocation and assembly module subunit TamB","K09800"
"632","KKOIIGHA_00962","CDS",363,"","","","hypothetical protein","K09858"
"633","KKOIIGHA_00963","CDS",636,"msrA_2","1.8.4.11","","Peptide methionine sulfoxide reductase MsrA","K07304"
"634","KKOIIGHA_00964","CDS",1032,"","","","hypothetical protein","K07019"
"635","KKOIIGHA_00965","CDS",1311,"pepQ","3.4.13.9","COG0006","Xaa-Pro dipeptidase","K01271"
"636","KKOIIGHA_00966","CDS",930,"yjiE_2","","COG0583","HTH-type transcriptional regulator YjiE","K21645"
"637","KKOIIGHA_00967","CDS",1056,"dppF","7.4.2.9","","Di/tripeptide transport ATP-binding protein DppF","K02032"
"638","KKOIIGHA_00968","CDS",1035,"oppD","7.4.2.6","","Oligopeptide transport ATP-binding protein OppD","K02031"
"639","KKOIIGHA_00969","CDS",948,"dppC","","","Di/tripeptide transport system permease protein DppC","K02034"
"640","KKOIIGHA_00970","CDS",1047,"dppB","","COG0601","Dipeptide transport system permease protein DppB","K02033"
"641","KKOIIGHA_00971","CDS",1590,"dppA","","COG0747","Dipeptide-binding protein","K02035"
"642","KKOIIGHA_00972","CDS",657,"can","4.2.1.1","COG0288","Carbonic anhydrase 2","K01673"
"643","KKOIIGHA_00973","CDS",1362,"garB","1.8.1.16","","Glutathione amide reductase","K00383"
"644","KKOIIGHA_00974","CDS",579,"ectA","2.3.1.178","COG0456","L-2,4-diaminobutyric acid acetyltransferase","K06718"
"645","KKOIIGHA_00975","CDS",1266,"ectB_2","2.6.1.76","COG0160","Diaminobutyrate--2-oxoglutarate transaminase","K00836"
"646","KKOIIGHA_00976","CDS",396,"ectC_2","4.2.1.108","COG1917","L-ectoine synthase","K06720"
"647","KKOIIGHA_00978","CDS",981,"pdhB","1.2.4.1","","Pyruvate dehydrogenase E1 component subunit beta","K00167"
"648","KKOIIGHA_00979","CDS",1410,"aceF","2.3.1.12","","Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex","K00627"
"649","KKOIIGHA_00980","CDS",1428,"lpdA","1.8.1.4","COG1249","Dihydrolipoyl dehydrogenase","K00382"
"650","KKOIIGHA_00981","CDS",1587,"mdoG_1","","COG3131","Glucans biosynthesis protein G","K03670"
"651","KKOIIGHA_00986","CDS",453,"zur","","COG0735","Zinc uptake regulation protein","K09823"
"652","KKOIIGHA_00987","CDS",444,"hisI","3.5.4.19","","Phosphoribosyl-AMP cyclohydrolase","K01496"
"653","KKOIIGHA_00988","CDS",360,"yidD","","","Putative membrane protein insertion efficiency factor","K08998"
"654","KKOIIGHA_00989","CDS",414,"sufE","","COG2166","Cysteine desulfuration protein SufE","K02426"
"655","KKOIIGHA_00992","CDS",591,"nfuA","","COG0316","Fe/S biogenesis protein NfuA","K07400"
"656","KKOIIGHA_00993","CDS",3744,"metH","2.1.1.13","COG0646","Methionine synthase","K00548"
"657","KKOIIGHA_00995","CDS",1653,"sir","1.8.7.1","COG0155","Sulfite reductase [ferredoxin]","K00381"
"658","KKOIIGHA_00999","CDS",354,"yfgD","","COG1393","putative protein YfgD","K00537"
"659","KKOIIGHA_01000","CDS",621,"","1.6.5.2","","NAD(P)H dehydrogenase (quinone)","K03809"
"660","KKOIIGHA_01005","CDS",711,"ygaZ","","COG1296","Inner membrane protein YgaZ","K26605"
"661","KKOIIGHA_01006","CDS",345,"","","","hypothetical protein","K26606"
"662","KKOIIGHA_01007","CDS",642,"pdxH","1.4.3.5","COG0259","Pyridoxine/pyridoxamine 5'-phosphate oxidase","K00275"
"663","KKOIIGHA_01009","CDS",843,"opuAB","","COG4176","Glycine betaine transport system permease protein OpuAB","K02001"
"664","KKOIIGHA_01010","CDS",1203,"opuAA","7.6.2.9","COG0517","Glycine betaine transport ATP-binding protein OpuAA","K02000"
"665","KKOIIGHA_01011","CDS",2748,"pat","2.3.1.-","","Peptidyl-lysine N-acetyltransferase Pat","K09181"
"666","KKOIIGHA_01014","CDS",549,"acpH","3.1.4.14","COG3124","Acyl carrier protein phosphodiesterase","K08682"
"667","KKOIIGHA_01015","CDS",354,"tusE","2.8.1.-","COG2920","Sulfurtransferase TusE","K11179"
"668","KKOIIGHA_01018","CDS",414,"dsrE","2.8.1.-","COG1553","Putative sulfurtransferase DsrE","K07235"
"669","KKOIIGHA_01019","CDS",669,"yccA","","COG0670","Modulator of FtsH protease YccA","K19416"
"670","KKOIIGHA_01026","CDS",2442,"hrpB","3.6.4.13","COG1643","ATP-dependent RNA helicase HrpB","K03579"
"671","KKOIIGHA_01029","CDS",1707,"nhaP2_1","","COG3263","K(+)/H(+) antiporter NhaP2","K11105"
"672","KKOIIGHA_01030","CDS",1149,"","","","hypothetical protein","K15598"
"673","KKOIIGHA_01031","CDS",789,"ybfF","3.1.-.-","COG0596","Esterase YbfF","K01175"
"674","KKOIIGHA_01032","CDS",666,"yhhQ","","COG1738","Queuosine precursor transporter","K09125"
"675","KKOIIGHA_01033","CDS",807,"nudC","3.6.1.-","COG2816","NAD-capped RNA hydrolase NudC","K03426"
"676","KKOIIGHA_01034","CDS",741,"dnaQ","2.7.7.7","COG0847","DNA polymerase III subunit epsilon","K02342"
"677","KKOIIGHA_01035","CDS",462,"rnhA_1","3.1.26.4","COG0328","Ribonuclease HI","K03469"
"678","KKOIIGHA_01037","CDS",768,"gloB_1","3.1.2.6","","Hydroxyacylglutathione hydrolase","K01069"
"679","KKOIIGHA_01038","CDS",1302,"mltD","4.2.2.-","COG0741","Membrane-bound lytic murein transglycosylase D","K08307"
"680","KKOIIGHA_01039","CDS",1833,"yejA","","COG4166","putative protein YejA","K13893"
"681","KKOIIGHA_01040","CDS",1080,"yejB","","COG4174","Inner membrane ABC transporter permease protein YejB","K13894"
"682","KKOIIGHA_01041","CDS",1131,"yejE","","COG4239","Inner membrane ABC transporter permease protein YejE","K13895"
"683","KKOIIGHA_01042","CDS",1578,"yejF","","COG4172","putative ABC transporter ATP-binding protein YejF","K13896"
"684","KKOIIGHA_01043","CDS",708,"rsuA","5.4.99.19","COG1187","Ribosomal small subunit pseudouridine synthase A","K06183"
"685","KKOIIGHA_01044","CDS",804,"yafV","3.5.1.3","COG0388","Omega-amidase YafV","K13566"
"686","KKOIIGHA_01045","CDS",909,"rarD","","COG2962","Protein RarD","K05786"
"687","KKOIIGHA_01047","CDS",1593,"","","","hypothetical protein","K03406"
"688","KKOIIGHA_01048","CDS",1356,"bauA","2.6.1.18","","Beta-alanine--pyruvate aminotransferase","K00822"
"689","KKOIIGHA_01049","CDS",1740,"","","COG0659","putative sulfate transporter","K03321"
"690","KKOIIGHA_01050","CDS",1125,"smoE","7.5.2.-","COG3842","Sulfoquinovosyl glycerol transport ATP-binding protein SmoE","K10112"
"691","KKOIIGHA_01051","CDS",879,"","","","hypothetical protein","K17317"
"692","KKOIIGHA_01052","CDS",933,"ggtC","","COG1175","Osmoprotective compounds uptake permease protein GgtC","K17316"
"693","KKOIIGHA_01053","CDS",1254,"","","","putative sugar-binding periplasmic protein","K17315"
"694","KKOIIGHA_01056","CDS",714,"gltR_1","","","Transcriptional regulatory protein GltR","K02483"
"695","KKOIIGHA_01057","CDS",555,"rpoE","","COG1595","ECF RNA polymerase sigma factor RpoE","K03088"
"696","KKOIIGHA_01059","CDS",1194,"lhgD_1","1.1.5.13","COG0579","L-2-hydroxyglutarate dehydrogenase","K15736"
"697","KKOIIGHA_01060","CDS",546,"pncA","3.5.1.19","COG1335","Nicotinamidase","K08281"
"698","KKOIIGHA_01061","CDS",1365,"pncB2","6.3.4.21","","Nicotinate phosphoribosyltransferase pncB2","K00763"
"699","KKOIIGHA_01062","CDS",1098,"ilvE","2.6.1.42","COG0115","Branched-chain-amino-acid aminotransferase","K00826"
"700","KKOIIGHA_01063","CDS",1518,"pepA","3.4.11.1","COG0260","Cytosol aminopeptidase","K01255"
"701","KKOIIGHA_01064","CDS",1080,"lptF","","COG0795","Lipopolysaccharide export system permease protein LptF","K07091"
"702","KKOIIGHA_01065","CDS",1065,"lptG","","COG0795","Lipopolysaccharide export system permease protein LptG","K11720"
"703","KKOIIGHA_01066","CDS",204,"bfd","","","Bacterioferritin-associated ferredoxin","K02192"
"704","KKOIIGHA_01067","CDS",477,"bfrB","1.16.3.1","","Bacterioferritin BfrB","K03594"
"705","KKOIIGHA_01068","CDS",1092,"purK","6.3.4.18","COG0026","N5-carboxyaminoimidazole ribonucleotide synthase","K01589"
"706","KKOIIGHA_01069","CDS",483,"purE","5.4.99.18","COG0041","N5-carboxyaminoimidazole ribonucleotide mutase","K01588"
"707","KKOIIGHA_01071","CDS",822,"tcdA","6.1.-.-","COG1179","tRNA threonylcarbamoyladenosine dehydratase","K22132"
"708","KKOIIGHA_01072","CDS",789,"truC","5.4.99.26","COG0564","tRNA pseudouridine synthase C","K06175"
"709","KKOIIGHA_01073","CDS",723,"cobB_2","2.3.1.286","COG0846","NAD-dependent protein deacylase","K12410"
"710","KKOIIGHA_01074","CDS",765,"tapT","2.5.1.25","COG3148","tRNA-uridine aminocarboxypropyltransferase","K05812"
"711","KKOIIGHA_01076","CDS",1449,"trkH","","COG0168","Trk system potassium uptake protein TrkH","K03498"
"712","KKOIIGHA_01077","CDS",1374,"trkA","","COG0569","Trk system potassium uptake protein TrkA","K03499"
"713","KKOIIGHA_01078","CDS",207,"","","COG3360","Dodecin","K09165"
"714","KKOIIGHA_01079","CDS",1323,"rsmB","2.1.1.176","COG0144","Ribosomal RNA small subunit methyltransferase B","K03500"
"715","KKOIIGHA_01080","CDS",978,"fmt","2.1.2.9","","Methionyl-tRNA formyltransferase","K00604"
"716","KKOIIGHA_01081","CDS",513,"def","3.5.1.88","","Peptide deformylase","K01462"
"717","KKOIIGHA_01083","CDS",1113,"","","","hypothetical protein","K04096"
"718","KKOIIGHA_01084","CDS",555,"tsaC","2.7.7.87","COG0009","Threonylcarbamoyl-AMP synthase","K07566"
"719","KKOIIGHA_01085","CDS",936,"hemF","1.3.3.3","COG0408","Oxygen-dependent coproporphyrinogen-III oxidase","K00228"
"720","KKOIIGHA_01086","CDS",813,"aroE","1.1.1.25","COG0169","Shikimate dehydrogenase (NADP(+))","K00014"
"721","KKOIIGHA_01088","CDS",858,"","","","hypothetical protein","K06923"
"722","KKOIIGHA_01089","CDS",1413,"der","","","GTPase Der","K03977"
"723","KKOIIGHA_01090","CDS",1152,"bamB","","","Outer membrane protein assembly factor BamB","K17713"
"724","KKOIIGHA_01092","CDS",1281,"hisS","6.1.1.21","","Histidine--tRNA ligase","K01892"
"725","KKOIIGHA_01093","CDS",1116,"ispG","1.17.7.3","COG0821","4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)","K03526"
"726","KKOIIGHA_01094","CDS",1071,"rodZ","","COG1426","Cytoskeleton protein RodZ","K15539"
"727","KKOIIGHA_01096","CDS",1128,"rlmN","2.1.1.192","COG0820","Dual-specificity RNA methyltransferase RlmN","K06941"
"728","KKOIIGHA_01097","CDS",426,"ndk","2.7.4.6","","Nucleoside diphosphate kinase","K00940"
"729","KKOIIGHA_01098","CDS",327,"iscA","","COG0316","Iron-binding protein IscA","K13628"
"730","KKOIIGHA_01099","CDS",1149,"iscS","2.8.1.7","","Cysteine desulfurase IscS","K04487"
"731","KKOIIGHA_01100","CDS",486,"iscR","","COG1959","HTH-type transcriptional regulator IscR","K13643"
"732","KKOIIGHA_01101","CDS",876,"dapH","2.3.1.89","","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase","K00640"
"733","KKOIIGHA_01102","CDS",849,"trmJ_1","2.1.1.-","","tRNA (cytidine/uridine/adenosine-2'-O-)-methyltransferase TrmJ","K15396"
"734","KKOIIGHA_01103","CDS",795,"suhB_2","3.1.3.25","","Nus factor SuhB","K01092"
"735","KKOIIGHA_01104","CDS",924,"secF","","COG0341","Protein translocase subunit SecF","K03074"
"736","KKOIIGHA_01105","CDS",1851,"secD","","COG0342","Protein translocase subunit SecD","K03072"
"737","KKOIIGHA_01106","CDS",336,"yajC","","COG1862","Sec translocon accessory complex subunit YajC","K03210"
"738","KKOIIGHA_01107","CDS",1137,"tgt","2.4.2.29","COG0343","Queuine tRNA-ribosyltransferase","K00773"
"739","KKOIIGHA_01108","CDS",1041,"queA","2.4.99.17","COG0809","S-adenosylmethionine:tRNA ribosyltransferase-isomerase","K07568"
"740","KKOIIGHA_01111","CDS",1647,"aidB","1.3.99.-","COG1960","Putative acyl-CoA dehydrogenase AidB","K09456"
"741","KKOIIGHA_01112","CDS",495,"gpx1","1.11.1.22","COG0386","Hydroperoxy fatty acid reductase gpx1","K00432"
"742","KKOIIGHA_01114","CDS",1209,"fabV","1.3.1.9","","Enoyl-[acyl-carrier-protein] reductase [NADH]","K00209"
"743","KKOIIGHA_01115","CDS",966,"gbdR_2","","","HTH-type transcriptional regulator GbdR","K21826"
"744","KKOIIGHA_01118","CDS",1215,"aruC","2.6.1.11","","Succinylornithine transaminase/acetylornithine aminotransferase","K00821"
"745","KKOIIGHA_01119","CDS",1065,"astA_1","2.3.1.109","","Arginine N-succinyltransferase subunit alpha","K00673"
"746","KKOIIGHA_01120","CDS",1020,"astA_2","2.3.1.109","COG3138","Arginine N-succinyltransferase","K00673"
"747","KKOIIGHA_01121","CDS",1470,"astD_1","1.2.1.71","COG1012","N-succinylglutamate 5-semialdehyde dehydrogenase","K06447"
"748","KKOIIGHA_01122","CDS",1374,"astB","3.5.3.23","COG3724","N-succinylarginine dihydrolase","K01484"
"749","KKOIIGHA_01124","CDS",927,"yedI","","COG2354","Inner membrane protein YedI","K09781"
"750","KKOIIGHA_01132","CDS",1032,"adhA","1.1.1.1","COG1064","putative alcohol dehydrogenase AdhA","K13953"
"751","KKOIIGHA_01134","CDS",732,"","","","hypothetical protein","K00799"
"752","KKOIIGHA_01138","CDS",1563,"phoD","3.1.3.1","COG3540","Alkaline phosphatase D","K01113"
"753","KKOIIGHA_01140","CDS",1149,"emrA_2","","","Colistin resistance protein EmrA","K03543"
"754","KKOIIGHA_01141","CDS",1545,"emrB_2","","COG2814","Multidrug export protein EmrB","K03446"
"755","KKOIIGHA_01144","CDS",1185,"ydhP_1","","COG2814","Inner membrane transport protein YdhP","K19577"
"756","KKOIIGHA_01147","CDS",204,"scoF","","COG1278","Cold shock protein ScoF","K03704"
"757","KKOIIGHA_01153","CDS",672,"copR","","","Transcriptional activator protein CopR","K02483"
"758","KKOIIGHA_01155","CDS",1305,"dctM_3","","","C4-dicarboxylate TRAP transporter large permease protein DctM","K11690"
"759","KKOIIGHA_01157","CDS",1017,"","","COG1638","Solute-binding protein","K11688"
"760","KKOIIGHA_01158","CDS",1743,"putP","","COG0591","Sodium/proline symporter","K03307"
"761","KKOIIGHA_01160","CDS",228,"","","","hypothetical protein","K09954"
"762","KKOIIGHA_01164","CDS",1065,"pnoA","1.13.12.-","","Nitronate monooxygenase","K00459"
